account_id,relationship_type,occupation,annual_income,age_group,account_purpose,verified_status,kyc_status,device_trust_score,last_login_device,is_trusted_device
A0001,PROFESSIONAL,Software Engineer,1200000,26-35,PERSONAL,VERIFIED,COMPLETED,85,Laptop-Chrome,TRUE
A0002,PROFESSIONAL,Accountant,800000,26-35,PERSONAL,VERIFIED,COMPLETED,90,Mobile-Android,TRUE
A0003,GOVERNMENT,Government Official,1500000,36-50,GOVERNMENT,VERIFIED,COMPLETED,95,Desktop-Windows,TRUE
A0004,PROFESSIONAL,Business Analyst,1000000,26-35,PERSONAL,VERIFIED,COMPLETED,80,Mobile-iOS,FALSE
A0005,PROFESSIONAL,Teacher,600000,26-35,PERSONAL,VERIFIED,COMPLETED,75,Tablet-Android,TRUE
A0006,PROFESSIONAL,Doctor,2000000,36-50,PERSONAL,VERIFIED,COMPLETED,92,Mobile-Android,TRUE
A0007,GOVERNMENT,Government Official,1200000,36-50,UTILITY,VERIFIED,COMPLETED,88,Desktop-Windows,TRUE
A0008,PROFESSIONAL,Marketing Manager,900000,26-35,PERSONAL,VERIFIED,COMPLETED,70,Laptop-Mac,FALSE
A0009,PROFESSIONAL,Engineer,1000000,26-35,PERSONAL,VERIFIED,COMPLETED,75,Mobile-Android,TRUE
A0010,PROFESSIONAL,Lawyer,1500000,26-35,PERSONAL,VERIFIED,COMPLETED,95,Mobile-iOS,TRUE
A0011,PROFESSIONAL,Architect,1200000,26-35,PERSONAL,VERIFIED,COMPLETED,80,Desktop-Windows,TRUE
A0012,GOVERNMENT,Government Official,1000000,36-50,UTILITY,VERIFIED,COMPLETED,85,Desktop-Windows,TRUE
A0013,PROFESSIONAL,HR Manager,900000,26-35,PERSONAL,VERIFIED,COMPLETED,70,Laptop-Chrome,TRUE
A0014,STUDENT,Student,50000,18-25,EDUCATION,VERIFIED,COMPLETED,80,Mobile-Android,TRUE
A0015,GOVERNMENT,Government Official,1200000,36-50,GOVERNMENT,UNVERIFIED,PENDING,65,Desktop-Windows,FALSE
A0016,PROFESSIONAL,Consultant,1200000,26-35,PERSONAL,VERIFIED,COMPLETED,80,Mobile-Android,TRUE
A0017,PROFESSIONAL,Business Owner,2500000,36-50,BUSINESS,VERIFIED,COMPLETED,85,Laptop-Mac,TRUE
