alert_id,transaction_id,sender_account,receiver_account,transaction_amount,final_risk_score,risk_level,alert_type,alert_generated_at,recommended_action,alert_status
ALT000001,T000022,A0296,A0353,172030,94.75,HIGH,Critical Fraud Alert,2025-01-01 09:01:00,Block Transaction,Open
ALT000002,T000023,A0475,A0004,114731,92.34,HIGH,Critical Fraud Alert,2025-01-01 09:02:00,Block Transaction,Under Review
ALT000003,T000032,A0069,A0057,307440,76.0,HIGH,Medium Risk Alert,2025-01-01 09:03:00,Monitor,Resolved
ALT000004,T000117,A0171,A0104,133706,80.0,HIGH,High Risk Alert,2025-01-01 09:04:00,Manual Review,Open
ALT000005,T000181,A0269,A0021,171974,80.75,HIGH,High Risk Alert,2025-01-01 09:05:00,Manual Review,Open
ALT000006,T000223,A0081,A0483,123174,90.25,HIGH,Critical Fraud Alert,2025-01-01 09:06:00,Block Transaction,Under Review
ALT000007,T000249,A0282,A0238,75688,83.49,HIGH,High Risk Alert,2025-01-01 09:07:00,Manual Review,Under Review
ALT000008,T000254,A0256,A0006,440888,75.0,HIGH,Medium Risk Alert,2025-01-01 09:08:00,Monitor,Open
ALT000009,T000261,A0231,A0299,96585,92.72,HIGH,Critical Fraud Alert,2025-01-01 09:09:00,Block Transaction,Under Review
ALT000010,T000267,A0493,A0188,175188,78.25,HIGH,Medium Risk Alert,2025-01-01 09:10:00,Monitor,Under Review
ALT000011,T000293,A0161,A0347,173008,93.75,HIGH,Critical Fraud Alert,2025-01-01 09:11:00,Block Transaction,Open
ALT000012,T000315,A0477,A0315,310866,84.5,HIGH,High Risk Alert,2025-01-01 09:12:00,Manual Review,Open
ALT000013,T000354,A0262,A0079,185425,89.16,HIGH,High Risk Alert,2025-01-01 09:13:00,Manual Review,Open
ALT000014,T000365,A0406,A0050,440959,76.75,HIGH,Medium Risk Alert,2025-01-01 09:14:00,Monitor,Resolved
ALT000015,T000371,A0153,A0265,287317,76.5,HIGH,Medium Risk Alert,2025-01-01 09:15:00,Monitor,Open
ALT000016,T000446,A0060,A0145,350562,75.75,HIGH,Medium Risk Alert,2025-01-01 09:16:00,Monitor,Resolved
ALT000017,T000471,A0413,A0024,99241,79.34,HIGH,Medium Risk Alert,2025-01-01 09:17:00,Monitor,Open
