pattern_type,sender_account,receiver_account,pattern_strength,detected_time,risk_level,description
Fan-Out,A0001,,81,,HIGH,Sender transferred to 81 unique receivers
Fan-Out,A0002,,78,,HIGH,Sender transferred to 78 unique receivers
Fan-Out,A0003,,91,,HIGH,Sender transferred to 91 unique receivers
Fan-Out,A0004,,67,,HIGH,Sender transferred to 67 unique receivers
Fan-Out,A0005,,97,,HIGH,Sender transferred to 97 unique receivers
Fan-Out,A0006,,91,,HIGH,Sender transferred to 91 unique receivers
Fan-Out,A0007,,73,,HIGH,Sender transferred to 73 unique receivers
Fan-Out,A0008,,111,,HIGH,Sender transferred to 111 unique receivers
Fan-Out,A0009,,106,,HIGH,Sender transferred to 106 unique receivers
Fan-Out,A0010,,89,,HIGH,Sender transferred to 89 unique receivers
Fan-Out,A0011,,99,,HIGH,Sender transferred to 99 unique receivers
Fan-Out,A0012,,78,,HIGH,Sender transferred to 78 unique receivers
Fan-Out,A0013,,74,,HIGH,Sender transferred to 74 unique receivers
Fan-Out,A0014,,90,,HIGH,Sender transferred to 90 unique receivers
Fan-Out,A0015,,92,,HIGH,Sender transferred to 92 unique receivers
Fan-Out,A0016,,76,,HIGH,Sender transferred to 76 unique receivers
Fan-Out,A0017,,84,,HIGH,Sender transferred to 84 unique receivers
Fan-Out,A0018,,93,,HIGH,Sender transferred to 93 unique receivers
Fan-Out,A0019,,78,,HIGH,Sender transferred to 78 unique receivers
Fan-Out,A0020,,87,,HIGH,Sender transferred to 87 unique receivers
Fan-Out,A0021,,100,,HIGH,Sender transferred to 100 unique receivers
Fan-Out,A0022,,83,,HIGH,Sender transferred to 83 unique receivers
Fan-Out,A0023,,102,,HIGH,Sender transferred to 102 unique receivers
Fan-Out,A0024,,82,,HIGH,Sender transferred to 82 unique receivers
Fan-Out,A0025,,97,,HIGH,Sender transferred to 97 unique receivers
Fan-Out,A0026,,99,,HIGH,Sender transferred to 99 unique receivers
Fan-Out,A0027,,92,,HIGH,Sender transferred to 92 unique receivers
Fan-Out,A0028,,88,,HIGH,Sender transferred to 88 unique receivers
Fan-Out,A0029,,94,,HIGH,Sender transferred to 94 unique receivers
Fan-Out,A0030,,83,,HIGH,Sender transferred to 83 unique receivers
Fan-Out,A0031,,91,,HIGH,Sender transferred to 91 unique receivers
Fan-Out,A0032,,91,,HIGH,Sender transferred to 91 unique receivers
Fan-Out,A0033,,74,,HIGH,Sender transferred to 74 unique receivers
Fan-Out,A0034,,74,,HIGH,Sender transferred to 74 unique receivers
Fan-Out,A0035,,82,,HIGH,Sender transferred to 82 unique receivers
Fan-Out,A0036,,91,,HIGH,Sender transferred to 91 unique receivers
Fan-Out,A0037,,75,,HIGH,Sender transferred to 75 unique receivers
Fan-Out,A0038,,93,,HIGH,Sender transferred to 93 unique receivers
Fan-Out,A0039,,90,,HIGH,Sender transferred to 90 unique receivers
Fan-Out,A0040,,88,,HIGH,Sender transferred to 88 unique receivers
Fan-Out,A0041,,95,,HIGH,Sender transferred to 95 unique receivers
Fan-Out,A0042,,81,,HIGH,Sender transferred to 81 unique receivers
Fan-Out,A0043,,86,,HIGH,Sender transferred to 86 unique receivers
Fan-Out,A0044,,102,,HIGH,Sender transferred to 102 unique receivers
Fan-Out,A0045,,102,,HIGH,Sender transferred to 102 unique receivers
