purpose_id,purpose_name,category,typical_amount_range_min,typical_amount_range_max,risk_multiplier,is_high_risk,requires_documentation
PUR001,EDUCATION,NEED_BASED,1000,200000,0.80,FALSE,TRUE
PUR002,RENT,NEED_BASED,5000,100000,0.85,FALSE,TRUE
PUR003,GIFT,LUXURY,100,50000,1.20,FALSE,FALSE
PUR004,BILL_PAYMENT,NEED_BASED,100,50000,0.90,FALSE,FALSE
PUR005,SALARY,NEED_BASED,10000,500000,0.70,FALSE,TRUE
PUR006,BUSINESS,INVESTMENT,1000,5000000,1.10,FALSE,TRUE
PUR007,MEDICAL,EMERGENCY,1000,500000,0.75,FALSE,TRUE
PUR008,SHOPPING,LUXURY,100,100000,1.15,FALSE,FALSE
PUR009,CRYPTOCURRENCY,INVESTMENT,1000,1000000,1.80,TRUE,TRUE
PUR010,GAMBLING,LUXURY,100,50000,2.00,TRUE,TRUE
PUR011,ONLINE_GAMING,LUXURY,100,100000,1.50,TRUE,FALSE
PUR012,OTHER,OTHER,0,999999,1.00,FALSE,FALSE
