id,pattern_type,sender_account,receiver_account,pattern_strength,detected_time,risk_level,description
1,Fan-Out,A0001,,81,,HIGH,Sender transferred to 81 unique receivers
2,Fan-Out,A0002,,78,,HIGH,Sender transferred to 78 unique receivers
3,Fan-Out,A0003,,91,,HIGH,Sender transferred to 91 unique receivers
4,Fan-Out,A0004,,67,,HIGH,Sender transferred to 67 unique receivers
5,Fan-Out,A0005,,97,,HIGH,Sender transferred to 97 unique receivers
6,Fan-Out,A0006,,91,,HIGH,Sender transferred to 91 unique receivers
7,Fan-Out,A0007,,73,,HIGH,Sender transferred to 73 unique receivers
8,Fan-Out,A0008,,111,,HIGH,Sender transferred to 111 unique receivers
9,Fan-Out,A0009,,106,,HIGH,Sender transferred to 106 unique receivers
10,Fan-Out,A0010,,89,,HIGH,Sender transferred to 89 unique receivers
11,Fan-Out,A0011,,99,,HIGH,Sender transferred to 99 unique receivers
12,Fan-Out,A0012,,78,,HIGH,Sender transferred to 78 unique receivers
13,Fan-Out,A0013,,74,,HIGH,Sender transferred to 74 unique receivers
14,Fan-Out,A0014,,90,,HIGH,Sender transferred to 90 unique receivers
15,Fan-Out,A0015,,92,,HIGH,Sender transferred to 92 unique receivers
16,Fan-Out,A0016,,76,,HIGH,Sender transferred to 76 unique receivers
17,Fan-Out,A0017,,84,,HIGH,Sender transferred to 84 unique receivers
18,Fan-Out,A0018,,93,,HIGH,Sender transferred to 93 unique receivers
19,Fan-Out,A0019,,78,,HIGH,Sender transferred to 78 unique receivers
20,Fan-Out,A0020,,87,,HIGH,Sender transferred to 87 unique receivers
21,Fan-Out,A0021,,100,,HIGH,Sender transferred to 100 unique receivers
22,Fan-Out,A0022,,83,,HIGH,Sender transferred to 83 unique receivers
23,Fan-Out,A0023,,102,,HIGH,Sender transferred to 102 unique receivers
24,Fan-Out,A0024,,82,,HIGH,Sender transferred to 82 unique receivers
25,Fan-Out,A0025,,97,,HIGH,Sender transferred to 97 unique receivers
26,Fan-Out,A0026,,99,,HIGH,Sender transferred to 99 unique receivers
27,Fan-Out,A0027,,92,,HIGH,Sender transferred to 92 unique receivers
28,Fan-Out,A0028,,88,,HIGH,Sender transferred to 88 unique receivers
29,Fan-Out,A0029,,94,,HIGH,Sender transferred to 94 unique receivers
30,Fan-Out,A0030,,83,,HIGH,Sender transferred to 83 unique receivers
31,Fan-Out,A0031,,91,,HIGH,Sender transferred to 91 unique receivers
32,Fan-Out,A0032,,91,,HIGH,Sender transferred to 91 unique receivers
33,Fan-Out,A0033,,74,,HIGH,Sender transferred to 74 unique receivers
34,Fan-Out,A0034,,74,,HIGH,Sender transferred to 74 unique receivers
35,Fan-Out,A0035,,82,,HIGH,Sender transferred to 82 unique receivers
36,Fan-Out,A0036,,91,,HIGH,Sender transferred to 91 unique receivers
37,Fan-Out,A0037,,75,,HIGH,Sender transferred to 75 unique receivers
38,Fan-Out,A0038,,93,,HIGH,Sender transferred to 93 unique receivers
39,Fan-Out,A0039,,90,,HIGH,Sender transferred to 90 unique receivers
40,Fan-Out,A0040,,88,,HIGH,Sender transferred to 88 unique receivers
41,Fan-Out,A0041,,95,,HIGH,Sender transferred to 95 unique receivers
42,Fan-Out,A0042,,81,,HIGH,Sender transferred to 81 unique receivers
43,Fan-Out,A0043,,86,,HIGH,Sender transferred to 86 unique receivers
44,Fan-Out,A0044,,102,,HIGH,Sender transferred to 102 unique receivers
45,Fan-Out,A0045,,102,,HIGH,Sender transferred to 102 unique receivers
46,Fan-Out,A0046,,80,,HIGH,Sender transferred to 80 unique receivers
47,Fan-Out,A0047,,89,,HIGH,Sender transferred to 89 unique receivers
48,Fan-Out,A0048,,82,,HIGH,Sender transferred to 82 unique receivers
49,Fan-Out,A0049,,76,,HIGH,Sender transferred to 76 unique receivers
50,Fan-Out,A0050,,89,,HIGH,Sender transferred to 89 unique receivers
51,Fan-Out,A0051,,94,,HIGH,Sender transferred to 94 unique receivers
52,Fan-Out,A0052,,74,,HIGH,Sender transferred to 74 unique receivers
53,Fan-Out,A0053,,98,,HIGH,Sender transferred to 98 unique receivers
54,Fan-Out,A0054,,85,,HIGH,Sender transferred to 85 unique receivers
