transaction_id,timestamp,sender_account,receiver_account,amount,sender_trust_score,receiver_trust_score,sender_avg_amount,sender_max_amount,amount_to_avg_ratio,amount_to_max_ratio,amount_deviation,historical_amount_zscore,transactions_last_5min,transactions_last_10min,transactions_last_30min,transactions_last_1hour,transactions_last_24hours,time_since_last_transaction,receiver_transaction_count,receiver_unique_sender_count,receiver_avg_amount,is_new_receiver,sender_receiver_transaction_count,is_new_device,device_account_count,device_transaction_count,transaction_hour,day_of_week,is_night,unusual_time_for_sender,sender_degree,receiver_degree,fan_in_score,fan_out_score,circular_transaction_flag,behavioral_anomaly_score,is_fraud
TXN_0000001,2026-05-01 00:01:19,ACC_0597,ACC_0277,5624.19,78.0,69.0,5624.19,5624.19,1.0,1.0,0.0,0.0,0,0,0,0,0,86400.0,0,0,5624.19,1,0,1,0,0,0,4,1,1,0,0,0,0,0,4.0,0
TXN_0000002,2026-05-01 00:04:59,ACC_0516,ACC_0113,206.69,63.0,40.0,206.69,206.69,1.0,1.0,0.0,0.0,0,0,0,0,0,86400.0,0,0,206.69,1,0,1,0,0,0,4,1,1,0,0,0,0,0,4.0,0
TXN_0000003,2026-05-01 00:07:12,ACC_0292,ACC_0087,6818.54,70.0,80.0,6818.54,6818.54,1.0,1.0,0.0,0.0,0,0,0,0,0,86400.0,0,0,6818.54,1,0,1,0,0,0,4,1,1,0,0,0,0,0,4.0,0
TXN_0000004,2026-05-01 00:08:22,ACC_0222,ACC_0790,241332.44,67.0,94.0,241332.44,241332.44,1.0,1.0,0.0,0.0,0,0,0,0,0,86400.0,0,0,241332.44,1,0,1,0,0,0,4,1,1,0,0,0,0,0,4.0,0
TXN_0000005,2026-05-01 00:08:30,ACC_0721,ACC_0592,39222.53,93.0,63.0,39222.53,39222.53,1.0,1.0,0.0,0.0,0,0,0,0,0,86400.0,0,0,39222.53,1,0,1,0,0,0,4,1,1,0,0,0,0,0,4.0,0
TXN_0000006,2026-05-01 00:11:56,ACC_0596,ACC_0124,1291.43,48.0,82.0,1291.43,1291.43,1.0,1.0,0.0,0.0,0,0,0,0,0,86400.0,0,0,1291.43,1,0,1,0,0,0,4,1,1,0,0,0,0,0,4.0,0
TXN_0000007,2026-05-01 00:11:57,ACC_0292,ACC_0166,117742.3,70.0,76.0,6818.54,6818.54,17.26796349765791,17.26796349765791,110923.76000000001,1109.2374890762512,1,1,1,1,1,285.0,0,0,117742.3,1,0,0,1,1,0,4,1,0,1,0,0,1,0,4.5,0
TXN_0000008,2026-05-01 00:12:54,ACC_0006,ACC_0849,2031.24,77.0,94.0,2031.24,2031.24,1.0,1.0,0.0,0.0,0,0,0,0,0,86400.0,0,0,2031.24,1,0,1,0,0,0,4,1,1,0,0,0,0,0,4.0,0
TXN_0000009,2026-05-01 00:12:59,ACC_0167,ACC_0486,31868.96,52.0,94.0,31868.96,31868.96,1.0,1.0,0.0,0.0,0,0,0,0,0,86400.0,0,0,31868.96,1,0,1,0,0,0,4,1,1,0,0,0,0,0,4.0,0
TXN_0000010,2026-05-01 00:18:35,ACC_0310,ACC_0678,59233.03,83.0,94.0,59233.03,59233.03,1.0,1.0,0.0,0.0,0,0,0,0,0,86400.0,0,0,59233.03,1,0,1,0,0,0,4,1,1,0,0,0,0,0,4.0,0
