transaction_id,sender_account,receiver_account,amount,timestamp,device_id,sender_account_type,sender_trust_score,sender_primary_device,receiver_trust_score,receiver_kyc_status,receiver_account_status,is_fraud
TXN_0000001,ACC_0597,ACC_0277,5624.19,2026-05-01 00:01:19,DEV_0314,PROFESSIONAL,78,DEV_0314,69,COMPLETED,Active,0
TXN_0000002,ACC_0516,ACC_0113,206.69,2026-05-01 00:04:59,DEV_0817,STUDENT,63,DEV_0817,40,COMPLETED,Active,0
TXN_0000003,ACC_0292,ACC_0087,6818.54,2026-05-01 00:07:12,DEV_0527,BUSINESS,70,DEV_0527,80,COMPLETED,Active,0
TXN_0000004,ACC_0222,ACC_0790,241332.44,2026-05-01 00:08:22,DEV_0165,PROFESSIONAL,67,DEV_0165,94,COMPLETED,Active,0
TXN_0000005,ACC_0721,ACC_0592,39222.53,2026-05-01 00:08:30,DEV_0898,BUSINESS,93,DEV_0898,63,COMPLETED,Active,0
TXN_0000006,ACC_0596,ACC_0124,1291.43,2026-05-01 00:11:56,DEV_0453,STUDENT,48,DEV_0453,82,COMPLETED,Active,0
TXN_0000007,ACC_0292,ACC_0166,117742.3,2026-05-01 00:11:57,DEV_0527,BUSINESS,70,DEV_0527,76,COMPLETED,Active,0
TXN_0000008,ACC_0006,ACC_0849,2031.24,2026-05-01 00:12:54,DEV_0860,NGO,77,DEV_0860,94,COMPLETED,Active,0
TXN_0000009,ACC_0167,ACC_0486,31868.96,2026-05-01 00:12:59,DEV_0813,PROFESSIONAL,52,DEV_0813,94,COMPLETED,Active,0
TXN_0000010,ACC_0310,ACC_0678,59233.03,2026-05-01 00:18:35,DEV_0743,BUSINESS,83,DEV_0743,94,COMPLETED,Active,0
TXN_0000011,ACC_0519,ACC_0719,43278.97,2026-05-01 00:23:43,DEV_0199,BUSINESS,64,DEV_0199,89,COMPLETED,Active,0
TXN_0000012,ACC_0315,ACC_0516,34222.96,2026-05-01 00:25:46,DEV_0258,BUSINESS,53,DEV_0258,63,COMPLETED,Active,0
TXN_0000013,ACC_0526,ACC_0401,4167.57,2026-05-01 00:27:21,DEV_0723,NGO,24,DEV_0723,94,COMPLETED,Active,0
TXN_0000014,ACC_0413,ACC_0305,4794.09,2026-05-01 00:29:47,DEV_0078,NGO,89,DEV_0078,87,COMPLETED,Active,0
TXN_0000015,ACC_0557,ACC_0990,1764.65,2026-05-01 00:34:29,DEV_1175,STUDENT,55,DEV_0992,16,PENDING,Suspended,1
TXN_0000016,ACC_0615,ACC_0678,10004.42,2026-05-01 00:34:30,DEV_0273,NGO,62,DEV_0273,94,COMPLETED,Active,0
TXN_0000017,ACC_0395,ACC_0685,4320.65,2026-05-01 00:37:51,DEV_0704,PERSONAL,45,DEV_0704,64,COMPLETED,Active,0
TXN_0000018,ACC_0335,ACC_0975,1158.38,2026-05-01 00:40:09,DEV_0925,PROFESSIONAL,66,DEV_0925,71,COMPLETED,Active,0
TXN_0000019,ACC_0105,ACC_0320,25653.92,2026-05-01 00:45:03,DEV_0457,BUSINESS,21,DEV_0457,62,COMPLETED,Active,0
TXN_0000020,ACC_0280,ACC_0591,1116.8,2026-05-01 00:45:15,DEV_1178,STUDENT,84,DEV_1178,86,COMPLETED,Active,0
TXN_0000021,ACC_0127,ACC_0990,23737.67,2026-05-01 00:47:59,DEV_0051,BUSINESS,30,DEV_0051,16,PENDING,Suspended,0
TXN_0000022,ACC_0321,ACC_0154,21221.94,2026-05-01 00:49:26,DEV_0664,BUSINESS,23,DEV_0664,45,COMPLETED,Active,0
TXN_0000023,ACC_0737,ACC_0671,5458.58,2026-05-01 00:59:20,DEV_0424,PROFESSIONAL,62,DEV_0424,57,COMPLETED,Active,0
TXN_0000024,ACC_0027,ACC_0065,47134.14,2026-05-01 01:04:56,DEV_0450,STUDENT,48,DEV_0450,86,COMPLETED,Active,0
TXN_0000025,ACC_0530,ACC_0141,8857.11,2026-05-01 01:05:46,DEV_1168,PERSONAL,63,DEV_1168,74,COMPLETED,Active,0
TXN_0000026,ACC_0223,ACC_0413,463.35,2026-05-01 01:09:13,DEV_0513,STUDENT,22,DEV_0513,89,COMPLETED,Active,0
TXN_0000027,ACC_0547,ACC_0247,224622.56,2026-05-01 01:10:26,DEV_0984,NGO,80,DEV_0984,90,COMPLETED,Active,0
TXN_0000028,ACC_0297,ACC_0257,10162.1,2026-05-01 01:13:48,DEV_0755,PROFESSIONAL,83,DEV_0755,48,COMPLETED,Active,0
TXN_0000029,ACC_0733,ACC_0745,5537.82,2026-05-01 01:14:55,DEV_0949,PROFESSIONAL,77,DEV_0949,34,COMPLETED,Active,0
TXN_0000030,ACC_0129,ACC_0991,2261.62,2026-05-01 01:15:54,DEV_1174,NGO,64,DEV_0399,92,COMPLETED,Active,1
TXN_0000031,ACC_0179,ACC_0489,7554.07,2026-05-01 01:16:09,DEV_1168,PROFESSIONAL,64,DEV_1168,41,COMPLETED,Active,0
TXN_0000032,ACC_0084,ACC_0800,351.46,2026-05-01 01:18:37,DEV_0213,STUDENT,48,DEV_0213,59,COMPLETED,Active,0
TXN_0000033,ACC_0162,ACC_0143,5818.62,2026-05-01 01:19:16,DEV_0313,PERSONAL,70,DEV_0313,66,COMPLETED,Active,0
TXN_0000034,ACC_0321,ACC_0856,19484.79,2026-05-01 01:19:46,DEV_0664,BUSINESS,23,DEV_0664,75,COMPLETED,Active,0
TXN_0000035,ACC_0776,ACC_0578,60758.35,2026-05-01 01:20:09,DEV_0430,BUSINESS,77,DEV_0430,95,COMPLETED,Active,0
TXN_0000036,ACC_0435,ACC_0041,472.5,2026-05-01 01:23:20,DEV_0442,STUDENT,75,DEV_0442,92,COMPLETED,Active,0
TXN_0000037,ACC_0459,ACC_0031,1290.33,2026-05-01 01:28:20,DEV_0680,PERSONAL,91,DEV_0680,75,COMPLETED,Active,0
TXN_0000038,ACC_0319,ACC_0832,164292.89,2026-05-01 01:29:43,DEV_1107,BUSINESS,51,DEV_1107,72,COMPLETED,Active,0
TXN_0000039,ACC_0203,ACC_0650,3379.39,2026-05-01 01:30:52,DEV_0152,PROFESSIONAL,83,DEV_0152,86,COMPLETED,Active,0
TXN_0000040,ACC_0677,ACC_0770,1469.34,2026-05-01 01:31:31,DEV_0351,PERSONAL,94,DEV_0351,74,COMPLETED,Active,0
TXN_0000041,ACC_0549,ACC_0724,19453.85,2026-05-01 01:32:39,DEV_0065,BUSINESS,84,DEV_0065,78,COMPLETED,Active,0
TXN_0000042,ACC_0437,ACC_0932,367.8,2026-05-01 01:34:28,DEV_0487,STUDENT,43,DEV_0487,62,COMPLETED,Active,0
TXN_0000043,ACC_0482,ACC_0995,10414.01,2026-05-01 01:36:08,DEV_0410,PROFESSIONAL,94,DEV_0410,50,COMPLETED,Active,0
TXN_0000044,ACC_0553,ACC_0918,6319.02,2026-05-01 01:36:42,DEV_0283,PERSONAL,75,DEV_0283,94,COMPLETED,Active,0
TXN_0000045,ACC_0512,ACC_0138,6238.96,2026-05-01 01:40:38,DEV_0610,PROFESSIONAL,84,DEV_0610,93,COMPLETED,Active,0
TXN_0000046,ACC_0077,ACC_0666,893.12,2026-05-01 01:40:53,DEV_0937,STUDENT,88,DEV_0937,40,COMPLETED,Active,0
TXN_0000047,ACC_0347,ACC_0300,7253.88,2026-05-01 01:47:32,DEV_0718,PERSONAL,63,DEV_0718,79,COMPLETED,Active,0
